NAME,B01001_001,B01001_002,B02001_001,B02001_003,B19001_001,B19001_002,B19001_003,B19001_004,B19001_005,B19001_006,B19001_007,B19001_008,B29001_001,B29001_005
"Chamblee city, Georgia",28748,15499,28748,4724,10983,464,414,687,379,595,659,528,15059,2237
"Chatsworth city, Georgia",4271,2005,4271,71,1745,166,142,106,175,160,88,75,3293,1008
"Chattahoochee Hills city, Georgia",2867,1594,2867,512,1068,51,27,51,20,35,60,34,2339,599
"Chattanooga Valley CDP, Georgia",3727,1864,3727,63,1472,119,81,109,160,37,95,71,2984,715
"Chauncey city, Georgia",369,181,369,121,150,20,3,31,15,5,9,13,262,52
"Cherry Log CDP, Georgia",47,38,47,0,24,0,0,0,24,0,0,0,47,17
"Chester town, Georgia",2121,1792,2121,1370,214,37,46,21,27,23,4,3,1894,161
"Chickamauga city, Georgia",3145,1292,3145,52,1306,16,146,106,141,93,100,23,2401,585
"Clarkesville city, Georgia",1706,749,1706,121,706,65,106,20,47,21,39,23,1363,304
"Clarkston city, Georgia",12762,6262,12762,7387,3770,308,269,222,339,358,203,344,4500,107
"Claxton city, Georgia",2359,1121,2359,1166,895,112,75,105,68,34,74,62,1545,300
"Clayton city, Georgia",1838,847,1838,40,829,118,112,61,58,50,98,49,1503,632
"Clermont town, Georgia",902,438,902,0,352,11,5,18,22,11,22,7,731,138
"Cleveland city, Georgia",3834,1714,3834,159,1260,103,64,162,60,149,27,72,2864,390
"Climax city, Georgia",178,87,178,41,79,7,9,12,2,4,0,5,150,55
"Cobbtown city, Georgia",366,153,366,34,184,32,11,15,18,11,10,3,286,69
"Cochran city, Georgia",4869,2203,4869,2376,1484,277,139,83,140,101,25,17,3790,778
"Cohutta city, Georgia",539,240,539,3,202,9,15,16,10,8,22,11,406,78
"Colbert city, Georgia",624,306,624,43,241,15,14,22,5,8,20,13,502,85
"Coleman CDP, Georgia",19,6,19,0,6,0,0,0,0,0,0,0,12,0
"College Park city, Georgia",14819,6674,14819,11814,6116,794,509,526,640,434,352,277,10442,1322
"Collins city, Georgia",573,197,573,209,262,42,31,21,24,4,28,14,374,82
"Colquitt city, Georgia",2194,1024,2194,1239,778,126,84,94,26,47,23,43,1646,355
"Columbus city, Georgia",196670,96279,196670,90001,72924,7847,4420,4336,4546,4444,3778,3154,143464,24428
"Comer city, Georgia",1320,634,1320,113,512,21,48,7,28,34,33,19,925,218
"Commerce city, Georgia",6742,3190,6742,1079,2398,234,153,159,110,68,62,210,4767,1171
"Concord city, Georgia",298,118,298,42,103,9,1,2,2,5,6,3,201,49
"Conley CDP, Georgia",6002,2756,6002,3246,2088,218,110,66,81,156,261,167,3838,605
"Conyers city, Georgia",15882,7225,15882,10066,6067,389,314,626,553,401,457,312,10332,1605
"Coolidge city, Georgia",416,182,416,165,156,24,15,10,17,14,13,5,256,49
"Cordele city, Georgia",10793,4742,10793,7283,3715,722,657,287,280,138,299,195,7359,1672
"Cornelia city, Georgia",4290,2169,4290,260,1406,135,129,138,146,101,33,137,2238,467
"Country Club Estates CDP, Georgia",8160,3965,8160,3657,3336,251,200,320,299,274,166,160,6092,1148
"Covington city, Georgia",13844,6485,13844,6449,5071,529,357,350,318,249,510,274,9770,1977
"Crawford city, Georgia",943,364,943,458,350,62,63,46,22,19,29,9,688,275
"Crawfordville city, Georgia",564,286,564,313,204,23,9,33,12,9,14,15,466,108
